ID,Grupo,N_nós,Taxa_escala_global,suscetiveis_mean,suscetiveis_median,suscetiveis_iqr,infeccaos_mean,infeccaos_median,infeccaos_iqr,recuperados_mean,recuperados_median,recuperados_iqr,Prev_Minimo_Valor,Prev_Tempo_Minimo,Prev_Maximo_Valor,Prev_Tempo_Maximo,Prev_Final_Valor,Taxa_escala_local,Categoria
s1_g1ae,G1,100.0,0.01,0.988570210713464,1,0,0.005336429,0.0,0.0,0.00609336,0.0,0.0,0.0,166,11.4747474747475,40,0.0,0,rede_completa
s2_g1ae,G1,100.0,0.034,0.88464276299923,1,0,0.05406043,0.0,0.1221544,0.06129681,0.06989899,0.09737374,0.0,1222,19.4747474747475,36,0.0,0,rede_completa
s3_g1ae,G1,100.0,0.05,0.97770688562471,1,1,0.01041913,0.0,0.02054414,0.01187399,0.0,0.0,0.0,201,25.7777777777778,34,0.0,0,rede_completa
s4_g1ae,G1,100.0,0.1,0.868171778865835,1,1,0.06106955,0.0,0.1465852,0.07075867,0.09414141,0.1305051,0.0,1034,34.3838383838384,20,0.0,0,rede_completa
s5_g1ae,G1,100.0,0.15,0.754030701237808,1,0,0.1157478,0.0,0.2981677,0.1302215,0.1317172,0.02707071,2.78787878787879,126,28.2424242424242,29,9.49494949494949,0,rede_completa
s6_g1ae,G1,100.0,0.35,0.854782584310624,1,0,0.06782607,0.0,0.1721266,0.07739135,0.09979798,0.1450505,0.0,1021,36.040404040404,11,0.0,0,rede_completa
s7_g1ae,G1,100.0,0.5,0.781593166534867,1,1,0.1016086,0.0,0.2648529,0.1167982,0.1373737,0.03555556,0.0,1452,41.010101010101,9,0.0,0,rede_completa
s8_g1ae,G1,100.0,0.8,0.952336019831854,1,1,0.02248111,0.0,0.04553026,0.02518287,0.0,0.0,0.0,311,45.0505050505051,7,0.0,0,rede_completa
s9_g2ae,G2,0.05,0.01,0.990451096192351,1,0,0.004400922,0.0,0.0,0.005147982,0.0,0.0,0.0,229,9.17171717171717,27,0.0,0,rede_completa
s10_g2ae,G2,0.05,0.034,0.967932069164718,1,0,0.01454815,0.0,0.02887285,0.01751978,0.0,0.0,0.0,338,22.0606060606061,37,0.0,0,rede_completa
s11_g2ae,G2,0.05,0.05,0.945659369934772,1,0,0.02530087,0.0,0.04664076,0.02903976,0.0,0.03111111,0.0,474,30.4242424242424,29,0.0,0,rede_completa
s12_g2ae,G2,0.05,0.1,0.847216417366331,1,0,0.07110303,0.0,0.1743476,0.08168055,0.1054545,0.1333333,0.0,1169,35.1111111111111,19,0.0,0,rede_completa
s13_g2ae,G2,0.05,0.15,0.754030701237808,1,0,0.1157478,0.0,0.2981677,0.1302215,0.1317172,0.02707071,2.78787878787879,126,28.2424242424242,29,9.49494949494949,0,rede_completa
s14_g2ae,G2,0.05,0.35,0.73002047123091,1,0,0.1278843,0.0,0.3425875,0.1420952,0.1418182,0.02505051,3.31313131313131,151,39.4747474747475,12,13.4949494949495,0,rede_completa
s15_g2ae,G2,0.05,0.5,0.818027470709315,1,0,0.08452925,0.0,0.2126596,0.09744328,0.1264646,0.1507071,0.0,1229,44.6060606060606,8,0.0,0,rede_completa
s16_g2ae,G2,0.05,0.8,0.72848282940454,1,0,0.1272714,0.0,0.3425875,0.1442458,0.1454545,0.02383838,1.97979797979798,738,40.4444444444444,6,11.2323232323232,0,rede_completa
s17_g3ae,G3,0.1,0.01,0.985838395055497,1,0,0.006699981,0.0,0.00388673,0.007461623,0.0,0.0,0.0,176,13.7373737373737,45,0.0,0,rede_completa
s18_g3ae,G3,0.1,0.034,0.854099910823952,1,0,0.068395,0.0,0.1435314,0.07750509,0.08161616,0.05131313,0.0,1602,30.2626262626263,30,0.0,0,rede_completa
s19_g3ae,G3,0.1,0.05,0.927195329194218,1,0,0.03354141,0.004441977,0.06551916,0.03926326,0.0,0.08121212,0.0,594,31.0707070707071,33,0.0,0,rede_completa
s20_g3ae,G3,0.1,0.1,0.906534304735306,1,0,0.04321662,0.01110494,0.08995003,0.05024908,0.0,0.1139394,0.0,659,40.1616161616162,20,0.0,0,rede_completa
s21_g3ae,G3,0.1,0.15,0.901204605746526,1,0,0.04582123,0.008883953,0.1004997,0.05297416,0.0,0.1264646,0.0,650,43.5555555555556,18,0.0,0,rede_completa
s22_g3ae,G3,0.1,0.35,0.721486043107364,1,0,0.130838,0.002776235,0.3439756,0.147676,0.1446465,0.02424242,4.04040404040404,1351,46.5050505050505,9,11.6767676767677,0,rede_completa
s23_g3ae,G3,0.1,0.5,0.722304443659246,1,0,0.1307467,0.0,0.3442532,0.1469489,0.1446465,0.02424242,3.55555555555556,1620,47.030303030303,8,9.37373737373737,0,rede_completa
s24_g3ae,G3,0.1,0.8,0.865064638612669,1,0,0.06300293,0.0,0.1551916,0.07193243,0.006464646,0.1450505,0.0,850,47.2727272727273,7,0.0,0,rede_completa
s25_g4ae,G4,0.15,0.01,0.974648203298953,1,0,0.01174836,0.0,0.02165464,0.01360344,0.0,0.006868687,0.0,489,22.949494949495,24,0.0,0,rede_completa
s26_g4ae,G4,0.15,0.034,0.92665915120107,1,0,0.03405762,0.01166019,0.0566352,0.03928323,0.0,0.06707071,0.0,716,34.3838383838384,25,0.0,0,rede_completa
s27_g4ae,G4,0.15,0.05,0.92433429239648,1,0,0.03566571,0.0188784,0.06413104,0.04,0.0,0.05939394,0.0,668,42.8282828282828,20,0.0,0,rede_completa
s28_g4ae,G4,0.15,0.1,0.750156534809505,1,0,0.1161458,0.0188784,0.287618,0.1336977,0.129697,0.02949495,2.1010101010101,1801,46.7070707070707,15,2.1010101010101,0,rede_completa
s29_g4ae,G4,0.15,0.15,0.902837368689673,1,0,0.04519801,0.01554692,0.09772349,0.05196462,0.0,0.1224242,0.0,636,48.040404040404,13,0.0,0,rede_completa
s30_g4ae,G4,0.15,0.35,0.720240719241274,1,0,0.1325095,0.01610217,0.3425875,0.1472497,0.1422222,0.02424242,5.01010101010101,130,53.5353535353535,8,16.0,0,rede_completa
